"ST","ASP","GLN","GLT","GLY","PGM","TKT","UNC","Source","Location","Intervention"
45,4,7,10,4,1,7,1,"Other",NA,NA
2347,2,4,4,105,10,25,57,"Other",NA,NA
995,2,4,84,105,126,25,57,"Other",NA,NA
583,4,7,10,4,42,51,1,"Other",NA,NA
4504,2,15,4,48,356,150,23,"Other",NA,NA
692,37,52,57,26,127,29,23,"Other",NA,NA
4499,98,359,98,125,180,150,113,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
10030,1,6,286,4,261,7,3,"Other",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
3640,1,6,5,4,261,7,3,"Other",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
10047,236,306,254,339,433,974,255,"Water",NA,NA
1324,99,128,91,125,170,146,111,"Other",NA,NA
4336,1,350,5,332,261,293,3,"Other",NA,NA
1304,100,142,93,135,190,145,81,"Other",NA,NA
3640,1,6,5,4,261,7,3,"Other",NA,NA
3660,192,295,216,282,359,293,102,"Water",NA,NA
1286,95,2,94,127,172,144,114,"Other",NA,NA
538,4,7,10,4,42,25,1,"Other",NA,NA
538,4,7,10,4,42,25,1,"Other",NA,NA
538,4,7,10,4,42,25,1,"Water",NA,NA
3655,1,6,5,282,261,7,3,"Other",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
53,2,1,21,3,2,1,5,"Ruminants",NA,NA
3302,130,155,69,113,276,257,67,"Other",NA,NA
3640,1,6,5,4,261,7,3,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
1286,95,2,94,127,172,144,114,"Other",NA,NA
3302,130,155,69,113,276,257,67,"Water",NA,NA
10036,175,970,216,282,359,293,102,"Water",NA,NA
10062,27,969,22,49,43,20,31,"Other",NA,NA
3655,1,6,5,282,261,7,3,"Other",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
3675,237,2,254,340,435,349,256,"Other",NA,NA
3655,1,6,5,282,261,7,3,"Other",NA,NA
3655,1,6,5,282,261,7,3,"Other",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
3675,237,2,254,340,435,349,256,"Water",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
583,4,7,10,4,42,51,1,"Other",NA,NA
52,9,25,2,10,22,3,6,"Other",NA,NA
52,9,25,2,10,22,3,6,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
696,2,1,4,28,58,25,58,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
991,37,52,57,26,107,29,23,"Other",NA,NA
474,2,4,1,2,2,1,5,"Other",NA,NA
422,2,1,5,3,2,5,5,"Other",NA,NA
3961,2,29,4,27,10,25,24,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
50,2,1,12,3,2,1,5,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
2535,10,2,107,62,120,76,1,"Other",NA,NA
2345,2,4,5,2,2,5,5,"Other",NA,NA
45,4,7,10,4,1,7,1,"Other",NA,NA
2381,175,251,216,282,359,293,102,"Other",NA,NA
4508,175,6,216,332,261,7,3,"Other",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
4508,175,6,216,332,261,7,3,"Other",NA,NA
3655,1,6,5,282,261,7,3,"Other",NA,NA
3640,1,6,5,4,261,7,3,"Other",NA,NA
4509,2,6,5,4,261,7,3,"Other",NA,NA
692,37,52,57,26,127,29,23,"Water",NA,NA
2381,175,251,216,282,359,293,102,"Water",NA,NA
1517,8,10,149,2,11,12,6,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
436,7,21,5,62,4,61,44,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
436,7,21,5,62,4,61,44,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
393,24,17,2,10,23,68,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
3794,2,1,12,3,447,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
53,2,1,21,3,2,1,5,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
3716,2,1,12,88,2,3,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
3812,9,25,2,3,22,3,6,"Ruminants",NA,NA
436,7,21,5,62,4,61,44,"Ruminants",NA,NA
53,2,1,21,3,2,1,5,"Ruminants",NA,NA
21,2,1,1,3,2,1,5,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
618,1,4,2,2,6,3,5,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
38,2,4,2,2,6,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
2392,9,25,2,283,22,3,6,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
2392,9,25,2,283,22,3,6,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
618,1,4,2,2,6,3,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
53,2,1,21,3,2,1,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
21,2,1,1,3,2,1,5,"Ruminants",NA,NA
2929,2,1,12,3,2,1,1,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
45,4,7,10,4,1,7,1,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
21,2,1,1,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
3719,2,4,12,2,2,1,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
1517,8,10,149,2,11,12,6,"Ruminants",NA,NA
1517,8,10,149,2,11,12,6,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
1517,8,10,149,2,11,12,6,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
618,1,4,2,2,6,3,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
2392,9,25,2,283,22,3,6,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
21,2,1,1,3,2,1,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
2392,9,25,2,283,22,3,6,"Ruminants",NA,NA
436,7,21,5,62,4,61,44,"Ruminants",NA,NA
436,7,21,5,62,4,61,44,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
3676,1,307,3,4,5,9,3,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
3722,10,1,12,3,2,5,7,"Ruminants",NA,NA
4494,1,4,2,2,496,3,17,"Ruminants",NA,NA
190,2,1,5,3,2,3,5,"Ruminants",NA,NA
1517,8,10,149,2,11,12,6,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
2341,1,1,2,2,6,3,17,"Ruminants",NA,NA
3795,10,1,16,19,448,5,7,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
45,4,7,10,4,1,7,1,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
422,2,1,5,3,2,5,5,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Water",NA,NA
4336,1,350,5,332,261,293,3,"Water",NA,NA
474,2,4,1,2,2,1,5,"Water",NA,NA
50,2,1,12,3,2,1,5,"Water",NA,NA
50,2,1,12,3,2,1,5,"Water",NA,NA
257,9,2,4,62,4,5,6,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
2381,175,251,216,282,359,293,102,"Water",NA,NA
2381,175,251,216,282,359,293,102,"Water",NA,NA
7217,17,5,8,5,712,2,4,"Water",NA,NA
50,2,1,12,3,2,1,5,"Water",NA,NA
50,2,1,12,3,2,1,5,"Water",NA,NA
2391,2,15,4,48,360,25,23,"Water",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
2381,175,251,216,282,359,293,102,"Water",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
3655,1,6,5,282,261,7,3,"Water",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
10048,236,306,254,340,958,349,255,"Water",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
4336,1,350,5,332,261,293,3,"Water",NA,NA
2026,10,1,16,19,10,5,7,"Water",NA,NA
5657,1,6,216,4,261,7,3,"Water",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
257,9,2,4,62,4,5,6,"Ruminants",NA,NA
45,4,7,10,4,1,7,1,"Ruminants",NA,NA
3720,3,1,5,10,11,11,6,"Ruminants",NA,NA
520,2,1,12,88,2,1,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
2381,175,251,216,282,359,293,102,"Water",NA,NA
53,2,1,21,3,2,1,5,"Ruminants",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
38,2,4,2,2,6,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
1517,8,10,149,2,11,12,6,"Ruminants",NA,NA
1517,8,10,149,2,11,12,6,"Ruminants",NA,NA
53,2,1,21,3,2,1,5,"Ruminants",NA,NA
4336,1,350,5,332,261,293,3,"Water",NA,NA
257,9,2,4,62,4,5,6,"Water",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
45,4,7,10,4,1,7,1,"Ruminants",NA,NA
6129,8,4,2,2,6,3,17,"Ruminants",NA,NA
10112,9,963,2,10,22,3,6,"Ruminants",NA,NA
38,2,4,2,2,6,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
2381,175,251,216,282,359,293,102,"Water",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
3302,130,155,69,113,276,257,67,"Water",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
3640,1,6,5,4,261,7,3,"Water",NA,NA
3302,130,155,69,113,276,257,67,"Water",NA,NA
42,1,2,3,4,5,9,3,"Ruminants",NA,NA
2026,10,1,16,19,10,5,7,"Ruminants",NA,NA
45,4,7,10,4,1,7,1,"Ruminants",NA,NA
3610,2,1,5,88,2,11,5,"Ruminants",NA,NA
50,2,1,12,3,2,1,5,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
474,2,4,1,2,2,1,5,"Ruminants",NA,NA
45,4,7,10,4,1,7,1,"Water",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
61,1,4,2,2,6,3,17,"Ruminants",NA,NA
4337,2,1,1,380,2,1,5,"Ruminants",NA,NA
